==============================================================================
 ESQUEMA DE BASE DE DATOS - ARTESA PRODUCCION
 Base de datos : artesa_produccion
 Host          : artesa-produccion-db.csbsswgcszct.us-east-1.rds.amazonaws.com:5432
 Generado      : 2026-07-02 14:19:05
==============================================================================

------------------------------------------------------------------------------
 1. TABLAS Y COLUMNAS
------------------------------------------------------------------------------
              table_name              |             column_name              |          data_type          | character_maximum_length | numeric_precision | numeric_scale | is_nullable |                     column_default                     | ordinal_position 
 tipos_mano_obra                      | costo_hora                           | numeric                     |                          |                14 |             2 | NO          | 0                                                      |                4
 tipos_mano_obra                      | activo                               | boolean                     |                          |                   |               | YES         | true                                                   |                5
 tipos_mano_obra                      | created_at                           | timestamp without time zone |                          |                   |               | YES         | now()                                                  |                6
 tipos_mano_obra                      | updated_at                           | timestamp without time zone |                          |                   |               | YES         | now()                                                  |                7
 usuarios                             | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('usuarios_id_seq'::regclass)                   |                1
 usuarios                             | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                     |                2
 usuarios                             | username                             | character varying           |                       50 |                   |               | NO          |                                                        |                3
 usuarios                             | email                                | character varying           |                      100 |                   |               | NO          |                                                        |                4
 usuarios                             | password_hash                        | character varying           |                      255 |                   |               | NO          |                                                        |                5
 usuarios                             | nombre_completo                      | character varying           |                      100 |                   |               | NO          |                                                        |                6
 usuarios                             | rol                                  | character varying           |                       20 |                   |               | NO          | 'OPERARIO'::character varying                          |                7
 usuarios                             | activo                               | boolean                     |                          |                   |               | YES         | true                                                   |                8
 usuarios                             | email_verificado                     | boolean                     |                          |                   |               | YES         | false                                                  |                9
 usuarios                             | intentos_fallidos                    | integer                     |                          |                32 |             0 | YES         | 0                                                      |               10
 usuarios                             | bloqueado_hasta                      | timestamp without time zone |                          |                   |               | YES         |                                                        |               11
 usuarios                             | ultimo_acceso                        | timestamp without time zone |                          |                   |               | YES         |                                                        |               12
 usuarios                             | ultimo_cambio_password               | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                      |               13
 usuarios                             | debe_cambiar_password                | boolean                     |                          |                   |               | YES         | false                                                  |               14
 usuarios                             | token_verificacion                   | character varying           |                      255 |                   |               | YES         |                                                        |               15
 usuarios                             | token_recuperacion                   | character varying           |                      255 |                   |               | YES         |                                                        |               16
 usuarios                             | token_recuperacion_expira            | timestamp without time zone |                          |                   |               | YES         |                                                        |               17
