        table_name        |             column_name              |          data_type          | character_maximum_length | numeric_precision | numeric_scale | is_nullable |                    column_default                     | ordinal_position 
--------------------------+--------------------------------------+-----------------------------+--------------------------+-------------------+---------------+-------------+-------------------------------------------------------+------------------
 amasadoras               | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('amasadoras_id_seq'::regclass)                |                1
 amasadoras               | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                    |                2
 amasadoras               | nombre                               | character varying           |                      100 |                   |               | NO          |                                                       |                3
 amasadoras               | codigo                               | character varying           |                       50 |                   |               | YES         |                                                       |                4
 amasadoras               | capacidad_kg                         | numeric                     |                          |                10 |             2 | NO          |                                                       |                5
 amasadoras               | tipo                                 | character varying           |                       50 |                   |               | YES         |                                                       |                6
 amasadoras               | activa                               | boolean                     |                          |                   |               | YES         | true                                                  |                7
 amasadoras               | observaciones                        | text                        |                          |                   |               | YES         |                                                       |                8
 amasadoras               | created_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                9
 amasadoras               | updated_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               10
 auditoria                | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('auditoria_id_seq'::regclass)                 |                1
 auditoria                | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                    |                2
 auditoria                | tabla                                | character varying           |                       50 |                   |               | NO          |                                                       |                3
 auditoria                | registro_id                          | integer                     |                          |                32 |             0 | NO          |                                                       |                4
 auditoria                | accion                               | character varying           |                       20 |                   |               | NO          |                                                       |                5
 auditoria                | usuario_id                           | integer                     |                          |                32 |             0 | YES         |                                                       |                6
 auditoria                | usuario_nombre                       | character varying           |                      100 |                   |               | YES         |                                                       |                7
 auditoria                | datos_anteriores                     | jsonb                       |                          |                   |               | YES         |                                                       |                8
 auditoria                | datos_nuevos                         | jsonb                       |                          |                   |               | YES         |                                                       |                9
 auditoria                | cambios                              | jsonb                       |                          |                   |               | YES         |                                                       |               10
 auditoria                | ip_address                           | inet                        |                          |                   |               | YES         |                                                       |               11
 auditoria                | user_agent                           | text                        |                          |                   |               | YES         |                                                       |               12
 auditoria                | fecha                                | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               13
 auditoria_cambios        | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('auditoria_cambios_id_seq'::regclass)         |                1
 auditoria_cambios        | uuid                                 | uuid                        |                          |                   |               | NO          | gen_random_uuid()                                     |                2
 auditoria_cambios        | tabla                                | character varying           |                      100 |                   |               | NO          |                                                       |                3
 auditoria_cambios        | registro_id                          | integer                     |                          |                32 |             0 | NO          |                                                       |                4
 auditoria_cambios        | masa_id                              | integer                     |                          |                32 |             0 | YES         |                                                       |                5
 auditoria_cambios        | operacion                            | character varying           |                       20 |                   |               | NO          |                                                       |                6
 auditoria_cambios        | datos_anteriores                     | jsonb                       |                          |                   |               | YES         |                                                       |                7
 auditoria_cambios        | datos_nuevos                         | jsonb                       |                          |                   |               | YES         |                                                       |                8
 auditoria_cambios        | campos_modificados                   | ARRAY                       |                          |                   |               | YES         |                                                       |                9
 auditoria_cambios        | usuario_id                           | integer                     |                          |                32 |             0 | YES         |                                                       |               10
 auditoria_cambios        | usuario_nombre                       | character varying           |                      200 |                   |               | YES         |                                                       |               11
 auditoria_cambios        | ip_address                           | inet                        |                          |                   |               | YES         |                                                       |               12
 auditoria_cambios        | user_agent                           | text                        |                          |                   |               | YES         |                                                       |               13
 auditoria_cambios        | fecha_cambio                         | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               14
 auditoria_cambios        | motivo                               | text                        |                          |                   |               | YES         |                                                       |               15
 catalogo_productos       | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('catalogo_productos_id_seq'::regclass)        |                1
 catalogo_productos       | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                    |                2
 catalogo_productos       | codigo_producto                      | character varying           |                       50 |                   |               | NO          |                                                       |                3
 catalogo_productos       | nombre                               | character varying           |                      200 |                   |               | NO          |                                                       |                4
 catalogo_productos       | presentacion                         | character varying           |                      100 |                   |               | YES         |                                                       |                5
 catalogo_productos       | peso_masa_gramos                     | numeric                     |                          |                10 |             2 | NO          |                                                       |                6
 catalogo_productos       | categoria                            | character varying           |                      100 |                   |               | YES         |                                                       |                7
 catalogo_productos       | tipo_masa                            | character varying           |                      100 |                   |               | YES         |                                                       |                8
 catalogo_productos       | activo                               | boolean                     |                          |                   |               | YES         | true                                                  |                9
 catalogo_productos       | created_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               10
 catalogo_productos       | updated_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               11
 catalogo_tipos_masa      | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('catalogo_tipos_masa_id_seq'::regclass)       |                1
 catalogo_tipos_masa      | uuid                                 | uuid                        |                          |                   |               | NO          | gen_random_uuid()                                     |                2
 catalogo_tipos_masa      | codigo_sap                           | character varying           |                       50 |                   |               | NO          |                                                       |                3
 catalogo_tipos_masa      | tipo_masa                            | character varying           |                      100 |                   |               | NO          |                                                       |                4
 catalogo_tipos_masa      | nombre_masa                          | character varying           |                      200 |                   |               | NO          |                                                       |                5
 catalogo_tipos_masa      | descripcion                          | text                        |                          |                   |               | YES         |                                                       |                6
 catalogo_tipos_masa      | activo                               | boolean                     |                          |                   |               | YES         | true                                                  |                7
 catalogo_tipos_masa      | requiere_reposo_pre_division         | boolean                     |                          |                   |               | YES         | false                                                 |                8
 catalogo_tipos_masa      | tiempo_reposo_division_minutos       | integer                     |                          |                32 |             0 | YES         |                                                       |                9
 catalogo_tipos_masa      | requiere_formado                     | boolean                     |                          |                   |               | YES         | false                                                 |               10
 catalogo_tipos_masa      | requiere_camara_frio                 | boolean                     |                          |                   |               | YES         | false                                                 |               11
 catalogo_tipos_masa      | tiempo_fermentacion_estandar_minutos | integer                     |                          |                32 |             0 | YES         | 40                                                    |               12
 catalogo_tipos_masa      | fecha_creacion                       | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               13
 catalogo_tipos_masa      | fecha_actualizacion                  | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               14
 catalogo_tipos_masa      | codigo_lote                          | character varying           |                        4 |                   |               | YES         |                                                       |               15
 catalogo_tipos_masa      | unidades_pan_por_paquete             | numeric                     |                          |                 6 |             2 | NO          | 1                                                     |               16
 catalogo_tipos_masa      | dias_vida_util                       | integer                     |                          |                32 |             0 | NO          | 5                                                     |               17
 configuracion_etiqueta   | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('configuracion_etiqueta_id_seq'::regclass)    |                1
 configuracion_etiqueta   | sap_item_code                        | character varying           |                       50 |                   |               | NO          |                                                       |                2
 configuracion_etiqueta   | nombre_producto                      | character varying           |                      200 |                   |               | NO          |                                                       |                3
 configuracion_etiqueta   | ingredientes_txt                     | text                        |                          |                   |               | YES         |                                                       |                4
